"District_C11ID","Area.Other.Kharif.Pulses","Prod.Other.Kharif.Pulses","Yield.Other.Kharif.Pulses","Area.Moong","Prod.Moong","Yield.Moong","Area.Moth","Prod.Moth","Yield.Moth","Area.Other.Rabi.Pulses","Prod.Other.Rabi.Pulses","Yield.Other.Rabi.Pulses","Area.Peas...Beans..Pulses.","Prod.Peas...Beans..Pulses.","Yield.Peas...Beans..Pulses.","Area.Urad","Prod.Urad","Yield.Urad","Area.Gram","Prod.Gram","Yield.Gram","Area.Masoor","Prod.Masoor","Yield.Masoor","Area.HorseGram","Prod.HorseGram","Yield.HorseGram","Area.Arhar..Tur.","Prod.Arhar..Tur.","Yield.Arhar..Tur.","areaTot","prodTot","yieldTot","diversity","dominant_pulses"
82,NA,NA,NA,63.4444444444444,0,0,5770,0,0,NA,NA,NA,18.6666666666667,0,0,18,0,0,1556.3,1500,1.033,282.4,333.333333333333,0.236666666666667,3,0,0,8860.4,7460,0.861,16572.2111111111,9293.33333333333,0.560778116512314,2.40265521147736,"Area.Arhar..Tur."
83,NA,NA,NA,28.1,0,0,NA,NA,NA,NA,NA,NA,86.25,116.666666666667,1.105,NA,NA,NA,1502.5,1600,1.168,75,100,1.33,NA,NA,NA,5607.2,5430,0.952,7299.05,7246.66666666667,0.992823266954832,1.58032893630528,"Area.Arhar..Tur."
84,NA,NA,NA,182.7,66.6666666666667,0.383333333333333,22.3333333333333,0,0,NA,NA,NA,78.4,25,0.1625,3.33333333333333,0,0,9253.3,7800,0.82,NA,NA,NA,2,0,0,129,114.285714285714,0.757142857142857,9671.06666666667,8005.95238095238,0.827825167263768,1.09161142280878,"Area.Gram"
85,NA,NA,NA,14.9,0,0,1.8,0,0,NA,NA,NA,129.5,133.333333333333,0.353333333333333,1,0,0,451.4,800,1.52,NA,NA,NA,NA,NA,NA,117.8,100,0.821,716.4,1033.33333333333,1.44239717104039,2.18734759859237,"Area.Gram"
86,NA,NA,NA,35.4,25,0.2975,171,0,0,NA,NA,NA,203,100,0.49,47.75,0,0,616.4,1200,1.044,798.8,380,0.35,NA,NA,NA,677.9,530,0.806,2550.25,2235,0.876384668169787,4.19175961145466,"Area.Masoor"
87,NA,NA,NA,35.75,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,6.33333333333333,NA,NA,821.4,1000,1.23,963.2,440,0.468,1696.5,600,0.18,282,575,1.77,3810.98333333333,2615,0.686174609352792,3.18399302141616,"Area.HorseGram"
88,2729.5,800,0.295,734.9,400,0.3025,601,300,0.5,2,0,0,20,0,0,76.7142857142857,0,0,9.875,0,0,32.75,0,0,2271.66666666667,500,0.236666666666667,2739.6,2320,0.866,9218.00595238095,4320,0.468647994188393,4.04149814606046,"Area.Arhar..Tur."
89,NA,NA,NA,148,100,0.4,2,NA,NA,NA,NA,NA,6,NA,NA,46.5,NA,NA,2,NA,NA,12.5,NA,NA,NA,NA,NA,1323.5,1350,1.025,1540.5,1450,0.941252839987017,1.33628875194881,"Area.Arhar..Tur."
94,278.285714285714,379,1.40285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,46.375,0.9625,NA,NA,NA,NA,NA,NA,197.25,291,1.46,527.035714285714,716.375,1.35925323575252,2.3341195153512,"Area.Other.Kharif.Pulses"
99,11.875,4.57142857142857,0.314285714285714,11734.3,6546.7,0.492,3781.1,1256.5,0.294,62.25,377.25,4.75,113.333333333333,539.833333333333,5.16666666666667,509.3,173.5,0.334,83113.2,54203.1,0.621,15.9,15.3,0.944,NA,NA,NA,67,96.3333333333333,1.49111111111111,99408.2583333333,63213.0880952381,0.635893729103205,1.39970200055285,"Area.Gram"
